Category,Item,Description,Price (EUR)
Wouts Favorietjes,Rookvlees,"Slagerij Ketelaars | pompoen-crème",5.35
Wouts Favorietjes,Garnalen kroket,"de Bourgondiër | citroenmayonaise",5.35
Wouts Favorietjes,Jackfruit (V),"witte kool",5.35
Wouts Favorietjes,Krabsalade,"augurk | little gem",5.35
Wouts Favorietjes,Köfte (V),"crispy chili yoghurt",5.35
Wouts Favorietjes,Moersmidden gehaktbrood,"Slagerij Ketelaars | piccalilly",5.35
Wouts Favorietjes,Reijrink,"gerookte paling | dragonmayonaise | little gem",5.35
Wouts Favorietjes,Gerookte zalm,"bieslookroomkaas | wasabimayonaise | little gem",5.35
Wouts Favorietjes,Rundvlees kroket,"de Bourgondiër | mayonaise en/of mosterd",5.35
Wouts Favorietjes,Krokante kaas (V),"de Bourgondiër | mango chutney",5.35
Wouts Favorietjes,Carpaccio,"truffelmayonaise | zongedroogde tomaat | pijnboompitten | kappertjes | rode ui | Parmezaanse kaas",5.35
Lunch - Huisgemaakte Soepen,Tomatensoep,"gehaktballetjes | prei | room",7.00
Lunch - Huisgemaakte Soepen,Maandsoep,,7.00
Lunch - Huisgemaakte Soepen,Klein kopje soep (bij favorietjes),,3.50
Lunch - Tosti's,Tosti,"ham | kaas",7.50
Lunch - Tosti's,Boerentosti,"ham | kaas | bacon | champignons | rode ui | spiegelei",11.50
Lunch - Specials,Pinsa warme beenham,"gebakken uien | mosterdsaus | little gem",14.50
Lunch - Specials,Quiche Lorraine,"kaas | prei | spekjes | crème fraîche",14.50
Lunch - Klassiekers,Knoflookgamba's (10 stuks),"licht pikante roomsaus | bosui | stokbrood",16.00
Lunch - Klassiekers,Gèsselse uitsmijter met 3 eieren,"opties: ham | kaas | spek (prijs per beleg 1.50)",9.00
Lunch - Klassiekers,Club gerookte kip,"van Slagerij Ketelaars | bacon | kaas | eiersalade | tomaat | komkommer",14.50
Lunch - Klassiekers,Boterham voor de kleintjes,"vraag wat voor lekkers we in huis hebben",3.00
Lunch - Salades,Köfte (V),"krokante kikkererwten | rode ui | crispy chili yoghurt",17.50
Lunch - Salades,Vis,"gerookte zalm | krabsalade | gamba's | paprika | bosui | cocktailsaus",23.00
Lunch - Salades,Carpaccio,"truffelmayonaise | zongedroogde tomaat | pijnboompitten | kappertjes | rode ui | Parmezaanse kaas",19.00
Maandag Menu (23 maart) - Voorgerechten,Tomatensoep,,23.50 (3-gangen)
Maandag Menu (23 maart) - Voorgerechten,Spinazie-knoflooksoep,,23.50 (3-gangen)
Maandag Menu (23 maart) - Voorgerechten,Sushi sandwich,"ceviche van makreel | soaja gel | grapefruit",23.50 (3-gangen)
Maandag Menu (23 maart) - Hoofdgerechten,Snoekbaarsfilet,"prei-mosterdsaus",23.50 (3-gangen)
Maandag Menu (23 maart) - Hoofdgerechten,Varkenshaas,"champignonsaus",23.50 (3-gangen)
Maandag Menu (23 maart) - Hoofdgerechten,Saté van kippendijen,"satésaus",23.50 (3-gangen)
Maandag Menu (23 maart) - Nagerechten,Bastogneparfait,,23.50 (3-gangen)
Maandag Menu (23 maart) - Nagerechten,Hazelino,,23.50 (3-gangen)
Maandag Menu (23 maart) - Nagerechten,Meringue ring,"bosbessen coulis | bolletje ijs",23.50 (3-gangen)
Wisselgerechten - Maandsoep,Spinazie-knoflooksoep,"ei",7.00
Wisselgerechten - Voorgerecht,Sushi sandwich,"ceviche van makreel | sojagel | grapefruit",13.50
Wisselgerechten - Hoofdgerecht,Kalfs rib-eye,"zwarte knoflookroomsaus",29.50
Wisselgerechten - Seizoensvis,Doradefilet,"kerrie-roomsaus",25.50
Wisselgerechten - Nagerecht,Slofje,"rode vodka-mascarpone crème | rood fruit",8.00
Diner - Brood,Focaccia,"pinsa romana | olijfolie | zeezout | aïoli",7.00
Diner - Huisgemaakte Soepen,Tomatensoep,"gehaktballetjes | prei | room",7.00
Diner - Huisgemaakte Soepen,Maandsoep,,7.00
Diner - Voorgerechten,Rundercarpaccio,"zongedroogde tomaat | Parmezaanse kaas | rode ui | pijnboompitten | kappertjes | truffelmayonaise",13.25
Diner - Voorgerechten,Knoflook gamba's (7 stuks),"licht pikante roomsaus | bosui | stokbrood",13.25
Diner - Voorgerechten,Gerookte paling,"paling mousse | huisgemaakt mierikswortel-mayonaise",13.75
Diner - Voorgerechten,Vitello tonnato,"kapperappeltjes | rucola | zongedroogde tomaat | tonijnmayonaise",11.75
Diner - Voorgerechten,Uientaartje,"rookvlees | bierstroop",9.75
Diner - Voorgerechten,Krokante pompoen (V),"crème van oude kaas | piccalilly",8.75
